kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
10866819,0,6427,1.062,1.104,19.775,16.757,Sun-like
8037268,0,5205,0.774,0.759,12.243,10.528,Sun-like
11622723,0,3708,0.356,0.3701,47.795,52.798,M-Dwarf
9006206,0,6228,1.779,1.0672,19.673,16.248,Sun-like
8494872,0,6081,1.573,0.96,15.684,13.296,Sun-like
11495654,0,5780,1.0,,14.758,14.992,Sun-like
9206432,0,6608,1.52,1.45,19.188,17.823,Sun-like
8424992,0,5721,1.028,0.9,19.275,15.66,Sun-like
8289241,0,6306,1.33,1.13,19.874,17.915,Sun-like
8872565,0,3319,0.177,0.157,53.592,44.491,M-Dwarf
11342861,0,5780,1.0,,11.546,13.628,Sun-like
6129877,0,6064,1.36,1.15,17.84,14.301,Sun-like
5724853,0,6032,1.458,0.984,20.102,16.843,Sun-like
6286466,0,3244,0.199,0.1768,18.879,17.398,M-Dwarf
10068482,0,5780,1.0,,18.523,17.097,Sun-like
10652967,0,6120,1.517,1.106,21.531,17.188,Sun-like
8740238,0,5513,0.7,0.7664,22.081,18.377,Sun-like
4565877,0,6347,1.627,1.0152,22.161,16.992,Sun-like
8737568,0,6422,1.424,1.0209,21.326,16.363,Sun-like
11960922,0,5780,1.0,,21.304,26.769,Sun-like
4472430,0,5780,1.0,,22.104,21.36,Sun-like
7986589,0,5452,1.431,0.9181,17.681,17.167,Sun-like
8476457,0,6105,1.764,0.806,21.829,17.424,Sun-like
11563912,0,5780,1.0,,20.728,21.918,Sun-like
10652967,0,6089,0.95,1.031,20.467,16.461,Sun-like
7286531,0,6002,1.472,0.9649,17.531,15.577,Sun-like
11569983,0,6039,1.716,1.0939,18.854,15.59,Sun-like
7034097,0,3916,0.594,0.5957,26.459,27.771,M-Dwarf
10163983,0,3661,0.469,0.479,40.655,52.572,M-Dwarf
11854674,0,6241,1.867,1.3,15.31,12.417,Sun-like
9071562,0,5589,1.072,0.882,16.521,13.312,Sun-like
9117875,0,6725,1.983,1.224,21.224,21.924,Sun-like
3831297,0,5903,0.976,0.984,21.061,17.229,Sun-like
11495654,0,5780,1.0,,16.301,16.002,Sun-like
10602391,0,5344,0.632,0.6222,16.537,14.024,Sun-like
4906883,0,6060,0.925,1.008,20.749,17.678,Sun-like
6106415,0,6028,1.202,1.039,15.944,13.482,Sun-like
9527740,0,3918,0.574,0.574,41.457,48.708,M-Dwarf
9673360,0,5780,1.0,,15.781,15.069,Sun-like
12736910,0,6514,1.356,1.048,19.613,17.684,Sun-like
6461089,0,3891,0.465,0.4685,53.495,53.116,M-Dwarf
9283220,0,3935,0.583,0.584,45.047,55.777,M-Dwarf
6947459,0,3433,0.104,0.099,46.293,35.031,M-Dwarf
5950854,0,5913,1.25,0.99,21.445,17.084,Sun-like
9658985,0,5884,1.473,0.948,21.502,18.168,Sun-like
12169236,0,5408,0.829,0.8149,16.02,15.753,Sun-like
9697403,0,5780,1.0,,11.218,12.579,Sun-like
3634451,0,3304,0.221,0.202,55.133,78.635,M-Dwarf
8542853,0,5569,0.826,0.8655,13.963,12.569,Sun-like
8831759,0,4970,1.979,0.903,13.87,18.255,Sun-like
6421967,0,6464,1.27,1.24,19.596,15.806,Sun-like
5717618,0,5780,1.0,,17.541,15.865,Sun-like
9292238,0,3876,0.576,0.5787,39.066,42.479,M-Dwarf
8028326,0,6100,1.76,1.109,21.396,19.427,Sun-like
5683912,0,3000,0.144,0.1172,19.056,18.338,M-Dwarf
8872565,0,3319,0.178,0.1577,48.404,39.086,M-Dwarf
3427720,0,6040,1.12,1.08,17.743,15.588,Sun-like
6271872,0,6072,1.263,0.8918,21.724,17.98,Sun-like
9143808,0,3815,0.602,0.601,39.612,40.351,M-Dwarf
7013649,0,6168,1.394,1.067,21.754,24.424,Sun-like
7584294,0,6003,1.085,1.002,17.743,15.203,Sun-like
4738155,0,6782,1.595,1.026,22.514,18.19,Sun-like
11197632,0,6353,1.263,1.067,22.694,19.982,Sun-like
9771200,0,5088,0.806,0.7626,22.706,18.654,Sun-like
6129877,0,5991,1.288,1.034,20.073,16.45,Sun-like
8675146,0,5938,1.476,0.906,18.979,15.706,Sun-like
6232600,0,6435,1.34,1.23,20.679,21.19,Sun-like
10934653,0,5888,1.032,0.931,19.613,15.879,Sun-like
4243697,0,6082,0.911,0.849,22.706,18.338,Sun-like
8694381,0,5780,1.0,,12.107,13.649,Sun-like
7050496,0,5780,1.0,,9.221,9.148,Sun-like
11038851,0,5790,1.712,0.9908,22.294,18.637,Sun-like
4931390,0,6642,1.363,1.274,18.964,17.519,Sun-like
11960922,0,5780,1.0,,20.793,22.776,Sun-like
6464166,0,5541,0.931,0.8801,20.923,17.135,Sun-like
5696568,0,3889,0.553,0.554,36.494,33.548,M-Dwarf
9075891,0,5927,1.511,0.8865,20.163,16.32,Sun-like
